,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281966,0.11655864,0.07964142,0.12347679,0.34841326,0.018251048,0.015597125,0.048311647,0.17854485,0.04341593,0.027789298
ERR4281967,0.08812973,0.23280059,0.021251796,0.19182824,0.06542762,0.2347859,0.0493099,0.028955575,0.032808237,0.054702446
ERR4281968,0.09363091,0.30960828,0.025436163,0.36057287,0.009614845,0.041192736,0.06812456,0.07347066,0.004772491,0.013576437
ERR4281969,0.07456562,0.14298388,0.031129016,0.017047126,0.075326204,0.28968278,0.04668131,0.007911662,0.055990748,0.25868177
ERR4281970,0.26283315,0.3792002,0.027604442,0.08240526,0.06634062,0.048329536,0.034519657,0.008734573,0.03873205,0.05130062
ERR4281971,0.08852033,0.40509498,0.066680074,0.19864923,0.025008783,0.061859213,0.07646725,0.04485602,0.009400203,0.02346387
ERR4281972,0.11761331,0.3106082,0.038657796,0.23336038,0.030231887,0.12073159,0.049912736,0.066358,0.009377268,0.02314888
ERR4281973,0.11101868,0.08373681,0.0181598,0.009491408,0.2769786,0.34562138,0.034355924,0.02371941,0.05478833,0.042129643
ERR4281974,0.035890445,0.021699974,0.088694446,0.14821653,0.023336591,0.024164869,0.16262071,0.46693486,0.015120359,0.013321152
ERR4281975,0.036769602,0.05462019,0.037292454,0.014689992,0.31019214,0.38215297,0.039710116,0.0133658005,0.06216672,0.04903992
ERR4281976,0.21989363,0.16061752,0.123590834,0.15712385,0.1250092,0.03679622,0.049824614,0.016514478,0.0489993,0.061630376
ERR4281977,0.08568526,0.032979265,0.096091926,0.22208698,0.05640192,0.052338302,0.13303785,0.18225664,0.044930473,0.09419134
